StudentID,Grade,Section,Subject,ExamDate,Score,PassFlag,TeacherID
STU-001,7,A,Mathematics,1/15/2025,78,Yes,TCH-101
STU-002,8,B,Mathematics,1/15/2025,42,No,TCH-105
STU-003,9,C,Science,1/15/2025,85,Yes,TCH-103
STU-004,7,D,English,2/15/2025,72,Yes,TCH-102
STU-005,8,A,Mathematics,1/15/2025,45,No,TCH-104
STU-006,9,B,History,2/15/2025,88,Yes,TCH-106
STU-007,7,C,Science,3/15/2025,81,Yes,TCH-107
STU-008,8,C,Mathematics,1/15/2025,43,No,TCH-108
STU-009,9,D,English,3/15/2025,79,Yes,TCH-109
STU-010,7,A,History,4/15/2025,74,Yes,TCH-110
STU-011,8,B,Science,2/15/2025,68,Yes,TCH-101
STU-012,9,C,Mathematics,4/15/2025,82,Yes,TCH-102
STU-013,7,D,English,5/15/2025,76,Yes,TCH-103
STU-014,8,A,Science,3/15/2025,65,Yes,TCH-104
STU-015,9,B,Mathematics,5/15/2025,84,Yes,TCH-105
STU-016,7,C,History,6/15/2025,70,Yes,TCH-106
STU-017,8,C,Science,4/15/2025,62,Yes,TCH-107
STU-018,9,D,Mathematics,6/15/2025,83,Yes,TCH-108
STU-019,7,A,English,7/15/2025,77,Yes,TCH-109
STU-020,8,B,History,5/15/2025,58,Yes,TCH-110
STU-021,9,C,English,7/15/2025,80,Yes,TCH-101
STU-022,7,D,Science,8/15/2025,82,Yes,TCH-102
STU-023,8,A,History,6/15/2025,55,Yes,TCH-103
STU-024,9,B,Science,8/15/2025,87,Yes,TCH-104
STU-025,7,C,Mathematics,9/15/2025,73,Yes,TCH-105
STU-026,8,C,History,7/15/2025,52,Yes,TCH-106
STU-027,9,D,Science,9/15/2025,86,Yes,TCH-107
STU-028,7,A,Science,10/15/2025,79,Yes,TCH-108
STU-029,8,B,English,8/15/2025,61,Yes,TCH-109
STU-030,9,C,History,10/15/2025,81,Yes,TCH-110
STU-031,7,D,Mathematics,11/15/2025,75,Yes,TCH-101
STU-032,8,A,English,9/15/2025,48,No,TCH-102
STU-033,9,B,History,11/15/2025,89,Yes,TCH-103
STU-034,7,C,English,12/15/2025,78,Yes,TCH-104
STU-035,8,C,English,10/15/2025,44,No,TCH-105
STU-036,9,D,History,12/15/2025,85,Yes,TCH-106
STU-037,7,A,Mathematics,1/15/2025,80,Yes,TCH-107
STU-038,8,B,Mathematics,2/15/2025,41,No,TCH-108
STU-039,9,C,Science,1/15/2025,84,Yes,TCH-109
STU-040,7,D,English,2/15/2025,73,Yes,TCH-110
STU-041,8,A,Mathematics,3/15/2025,46,No,TCH-101
STU-042,9,B,Science,2/15/2025,86,Yes,TCH-102
STU-043,7,C,History,3/15/2025,71,Yes,TCH-103
STU-044,8,C,Mathematics,4/15/2025,44,No,TCH-104
STU-045,9,D,English,3/15/2025,82,Yes,TCH-105
STU-046,7,A,Science,4/15/2025,77,Yes,TCH-106
STU-047,8,B,History,5/15/2025,56,Yes,TCH-107
STU-048,9,C,Mathematics,4/15/2025,83,Yes,TCH-108
STU-049,7,D,Science,5/15/2025,80,Yes,TCH-109
STU-050,8,A,Science,6/15/2025,63,Yes,TCH-110
STU-051,9,B,Mathematics,5/15/2025,85,Yes,TCH-101
STU-052,7,C,English,6/15/2025,74,Yes,TCH-102
STU-053,8,C,Science,7/15/2025,61,Yes,TCH-103
STU-054,9,D,Mathematics,6/15/2025,86,Yes,TCH-104
STU-055,7,A,History,7/15/2025,72,Yes,TCH-105
STU-056,8,B,English,8/15/2025,59,Yes,TCH-106
STU-057,9,C,History,7/15/2025,80,Yes,TCH-107
STU-058,7,D,Mathematics,8/15/2025,76,Yes,TCH-108
STU-059,8,A,History,9/15/2025,54,Yes,TCH-109
STU-060,9,B,English,8/15/2025,83,Yes,TCH-110
STU-061,7,C,Science,9/15/2025,81,Yes,TCH-101
STU-062,8,C,History,10/15/2025,51,Yes,TCH-102
STU-063,9,D,Science,9/15/2025,87,Yes,TCH-103
STU-064,7,A,English,10/15/2025,79,Yes,TCH-104
STU-065,8,B,Science,11/15/2025,67,Yes,TCH-105
STU-066,9,C,English,10/15/2025,81,Yes,TCH-106
STU-067,7,D,History,11/15/2025,70,Yes,TCH-107
STU-068,8,A,English,12/15/2025,47,No,TCH-108
STU-069,9,B,History,11/15/2025,90,Yes,TCH-109
STU-070,7,C,Mathematics,12/15/2025,77,Yes,TCH-110
STU-071,8,C,English,1/15/2025,43,No,TCH-101
STU-072,9,D,History,12/15/2025,84,Yes,TCH-102
STU-073,7,A,Science,1/15/2025,82,Yes,TCH-103
STU-074,8,B,Mathematics,2/15/2025,40,No,TCH-104
STU-075,9,C,Science,1/15/2025,85,Yes,TCH-105
STU-076,7,D,English,2/15/2025,74,Yes,TCH-106
STU-077,8,A,Mathematics,3/15/2025,47,No,TCH-107
STU-078,9,B,Science,2/15/2025,88,Yes,TCH-108
STU-079,7,C,History,3/15/2025,72,Yes,TCH-109
STU-080,8,C,Mathematics,4/15/2025,42,No,TCH-110
STU-081,9,D,English,3/15/2025,80,Yes,TCH-101
STU-082,7,A,History,4/15/2025,73,Yes,TCH-102
STU-083,8,B,Science,5/15/2025,66,Yes,TCH-103
STU-084,9,C,Mathematics,4/15/2025,84,Yes,TCH-104
STU-085,7,D,Science,5/15/2025,81,Yes,TCH-105
STU-086,8,A,Science,6/15/2025,64,Yes,TCH-106
STU-087,9,B,Mathematics,5/15/2025,83,Yes,TCH-107
STU-088,7,C,English,6/15/2025,75,Yes,TCH-108
STU-089,8,C,Science,7/15/2025,62,Yes,TCH-109
STU-090,9,D,Mathematics,6/15/2025,85,Yes,TCH-110
STU-091,7,A,English,7/15/2025,78,Yes,TCH-101
STU-092,8,B,History,8/15/2025,57,Yes,TCH-102
STU-093,9,C,History,7/15/2025,81,Yes,TCH-103
STU-094,7,D,Mathematics,8/15/2025,76,Yes,TCH-104
STU-095,8,A,History,9/15/2025,53,Yes,TCH-105
STU-096,9,B,English,8/15/2025,82,Yes,TCH-106
STU-097,7,C,Science,9/15/2025,80,Yes,TCH-107
STU-098,8,C,History,10/15/2025,52,Yes,TCH-108
STU-099,9,D,Science,9/15/2025,86,Yes,TCH-109
STU-100,7,A,Mathematics,10/15/2025,79,Yes,TCH-110
STU-101,8,B,English,11/15/2025,60,Yes,TCH-101
STU-102,9,C,Science,10/15/2025,87,Yes,TCH-102
STU-103,7,D,History,11/15/2025,71,Yes,TCH-103
STU-104,8,A,English,12/15/2025,49,No,TCH-104
STU-105,9,B,History,11/15/2025,88,Yes,TCH-105
