"studentid","grade","section","subject","examdate","score","passflag","teacherid"
"STU-001",7,"A","Mathematics","2025-01-15",78,"Yes","TCH-101"
"STU-002",8,"B","Mathematics","2025-01-15",42,"No","TCH-105"
"STU-003",9,"C","Science","2025-01-15",85,"Yes","TCH-103"
"STU-004",7,"D","English","2025-02-15",72,"Yes","TCH-102"
"STU-005",8,"A","Mathematics","2025-01-15",45,"No","TCH-104"
"STU-006",9,"B","History","2025-02-15",88,"Yes","TCH-106"
"STU-007",7,"C","Science","2025-03-15",81,"Yes","TCH-107"
"STU-008",8,"C","Mathematics","2025-01-15",43,"No","TCH-108"
"STU-009",9,"D","English","2025-03-15",79,"Yes","TCH-109"
"STU-010",7,"A","History","2025-04-15",74,"Yes","TCH-110"
"STU-011",8,"B","Science","2025-02-15",68,"Yes","TCH-101"
"STU-012",9,"C","Mathematics","2025-04-15",82,"Yes","TCH-102"
"STU-013",7,"D","English","2025-05-15",76,"Yes","TCH-103"
"STU-014",8,"A","Science","2025-03-15",65,"Yes","TCH-104"
"STU-015",9,"B","Mathematics","2025-05-15",84,"Yes","TCH-105"
"STU-016",7,"C","History","2025-06-15",70,"Yes","TCH-106"
"STU-017",8,"C","Science","2025-04-15",62,"Yes","TCH-107"
"STU-018",9,"D","Mathematics","2025-06-15",83,"Yes","TCH-108"
"STU-019",7,"A","English","2025-07-15",77,"Yes","TCH-109"
"STU-020",8,"B","History","2025-05-15",58,"Yes","TCH-110"
"STU-021",9,"C","English","2025-07-15",80,"Yes","TCH-101"
"STU-022",7,"D","Science","2025-08-15",82,"Yes","TCH-102"
"STU-023",8,"A","History","2025-06-15",55,"Yes","TCH-103"
"STU-024",9,"B","Science","2025-08-15",87,"Yes","TCH-104"
"STU-025",7,"C","Mathematics","2025-09-15",73,"Yes","TCH-105"
"STU-026",8,"C","History","2025-07-15",52,"Yes","TCH-106"
"STU-027",9,"D","Science","2025-09-15",86,"Yes","TCH-107"
"STU-028",7,"A","Science","2025-10-15",79,"Yes","TCH-108"
"STU-029",8,"B","English","2025-08-15",61,"Yes","TCH-109"
"STU-030",9,"C","History","2025-10-15",81,"Yes","TCH-110"
"STU-031",7,"D","Mathematics","2025-11-15",75,"Yes","TCH-101"
"STU-032",8,"A","English","2025-09-15",48,"No","TCH-102"
"STU-033",9,"B","History","2025-11-15",89,"Yes","TCH-103"
"STU-034",7,"C","English","2025-12-15",78,"Yes","TCH-104"
"STU-035",8,"C","English","2025-10-15",44,"No","TCH-105"
"STU-036",9,"D","History","2025-12-15",85,"Yes","TCH-106"
"STU-037",7,"A","Mathematics","2025-01-15",80,"Yes","TCH-107"
"STU-038",8,"B","Mathematics","2025-02-15",41,"No","TCH-108"
"STU-039",9,"C","Science","2025-01-15",84,"Yes","TCH-109"
"STU-040",7,"D","English","2025-02-15",73,"Yes","TCH-110"
"STU-041",8,"A","Mathematics","2025-03-15",46,"No","TCH-101"
"STU-042",9,"B","Science","2025-02-15",86,"Yes","TCH-102"
"STU-043",7,"C","History","2025-03-15",71,"Yes","TCH-103"
"STU-044",8,"C","Mathematics","2025-04-15",44,"No","TCH-104"
"STU-045",9,"D","English","2025-03-15",82,"Yes","TCH-105"
"STU-046",7,"A","Science","2025-04-15",77,"Yes","TCH-106"
"STU-047",8,"B","History","2025-05-15",56,"Yes","TCH-107"
"STU-048",9,"C","Mathematics","2025-04-15",83,"Yes","TCH-108"
"STU-049",7,"D","Science","2025-05-15",80,"Yes","TCH-109"
"STU-050",8,"A","Science","2025-06-15",63,"Yes","TCH-110"
"STU-051",9,"B","Mathematics","2025-05-15",85,"Yes","TCH-101"
"STU-052",7,"C","English","2025-06-15",74,"Yes","TCH-102"
"STU-053",8,"C","Science","2025-07-15",61,"Yes","TCH-103"
"STU-054",9,"D","Mathematics","2025-06-15",86,"Yes","TCH-104"
"STU-055",7,"A","History","2025-07-15",72,"Yes","TCH-105"
"STU-056",8,"B","English","2025-08-15",59,"Yes","TCH-106"
"STU-057",9,"C","History","2025-07-15",80,"Yes","TCH-107"
"STU-058",7,"D","Mathematics","2025-08-15",76,"Yes","TCH-108"
"STU-059",8,"A","History","2025-09-15",54,"Yes","TCH-109"
"STU-060",9,"B","English","2025-08-15",83,"Yes","TCH-110"
"STU-061",7,"C","Science","2025-09-15",81,"Yes","TCH-101"
"STU-062",8,"C","History","2025-10-15",51,"Yes","TCH-102"
"STU-063",9,"D","Science","2025-09-15",87,"Yes","TCH-103"
"STU-064",7,"A","English","2025-10-15",79,"Yes","TCH-104"
"STU-065",8,"B","Science","2025-11-15",67,"Yes","TCH-105"
"STU-066",9,"C","English","2025-10-15",81,"Yes","TCH-106"
"STU-067",7,"D","History","2025-11-15",70,"Yes","TCH-107"
"STU-068",8,"A","English","2025-12-15",47,"No","TCH-108"
"STU-069",9,"B","History","2025-11-15",90,"Yes","TCH-109"
"STU-070",7,"C","Mathematics","2025-12-15",77,"Yes","TCH-110"
"STU-071",8,"C","English","2025-01-15",43,"No","TCH-101"
"STU-072",9,"D","History","2025-12-15",84,"Yes","TCH-102"
"STU-073",7,"A","Science","2025-01-15",82,"Yes","TCH-103"
"STU-074",8,"B","Mathematics","2025-02-15",40,"No","TCH-104"
"STU-075",9,"C","Science","2025-01-15",85,"Yes","TCH-105"
"STU-076",7,"D","English","2025-02-15",74,"Yes","TCH-106"
"STU-077",8,"A","Mathematics","2025-03-15",47,"No","TCH-107"
"STU-078",9,"B","Science","2025-02-15",88,"Yes","TCH-108"
"STU-079",7,"C","History","2025-03-15",72,"Yes","TCH-109"
"STU-080",8,"C","Mathematics","2025-04-15",42,"No","TCH-110"
"STU-081",9,"D","English","2025-03-15",80,"Yes","TCH-101"
